"Eastern Date Hour","Eastern Date Hour Time Zone","Zone Name","Zone PTID","DAM Zonal LBMP","DAM Zonal Losses","DAM Zonal Congestion","DAM Zonal Price Version"
"2023/01/01 07:00:00","EST","MILLWD","61759","32.62","1.52","-10.63","1"
"2023/01/01 07:00:00","EST","N.Y.C.","61761","32.65","1.62","-10.55","1"
"2023/01/01 07:00:00","EST","NORTH","61755","20.05","-0.43","0","1"
"2023/01/01 07:00:00","EST","NPX","61845","34.48","1.29","-12.71","1"
"2023/01/01 07:00:00","EST","O H","61846","21","-1.17","-1.69","1"
"2023/01/01 07:00:00","EST","PJM","61847","26.85","0.33","-6.05","1"
"2023/01/01 07:00:00","EST","WEST","61752","21.36","-0.94","-1.83","1"
"2023/01/01 08:00:00","EST","CAPITL","61757","34.15","1.67","-4.64","1"
"2023/01/01 08:00:00","EST","CENTRL","61754","28.21","-0.17","-0.54","1"
"2023/01/01 08:00:00","EST","DUNWOD","61760","33.5","2.39","-3.26","1"
"2023/01/01 08:00:00","EST","GENESE","61753","27.37","-0.92","-0.45","1"
"2023/01/01 08:00:00","EST","H Q","61844","27.34","-0.5","0","1"
"2023/01/01 08:00:00","EST","HUD VL","61758","33.14","2.06","-3.24","1"
"2023/01/01 08:00:00","EST","LONGIL","61762","38.93","3.28","-7.81","1"
"2023/01/01 08:00:00","EST","MHK VL","61756","29.02","0.72","-0.46","1"
"2023/01/01 08:00:00","EST","MILLWD","61759","33.38","2.25","-3.29","1"
"2023/01/01 08:00:00","EST","N.Y.C.","61761","33.52","2.42","-3.27","1"
"2023/01/01 08:00:00","EST","NORTH","61755","27.2","-0.64","0","1"
"2023/01/01 08:00:00","EST","NPX","61845","33.75","1.98","-3.93","1"
"2023/01/01 08:00:00","EST","O H","61846","26.47","-1.89","-0.52","1"
"2023/01/01 08:00:00","EST","PJM","61847","30.13","0.42","-1.87","1"
"2023/01/01 08:00:00","EST","WEST","61752","26.84","-1.56","-0.56","1"
"2023/01/01 09:00:00","EST","CAPITL","61757","34.94","1.73","-5.34","1"
"2023/01/01 09:00:00","EST","CENTRL","61754","28.27","-0.22","-0.62","1"
"2023/01/01 09:00:00","EST","DUNWOD","61760","34.03","2.4","-3.75","1"
"2023/01/01 09:00:00","EST","GENESE","61753","27.42","-0.98","-0.52","1"
"2023/01/01 09:00:00","EST","H Q","61844","27.4","-0.47","0","1"
"2023/01/01 09:00:00","EST","HUD VL","61758","33.67","2.06","-3.73","1"
"2023/01/01 09:00:00","EST","LONGIL","61762","38.61","3.32","-7.42","1"
"2023/01/01 09:00:00","EST","MHK VL","61756","29.1","0.7","-0.53","1"
"2023/01/01 09:00:00","EST","MILLWD","61759","33.92","2.26","-3.79","1"
"2023/01/01 09:00:00","EST","N.Y.C.","61761","34.09","2.45","-3.76","1"
"2023/01/01 09:00:00","EST","NORTH","61755","27.26","-0.61","0","1"
"2023/01/01 09:00:00","EST","NPX","61845","34.35","1.95","-4.53","1"
"2023/01/01 09:00:00","EST","O H","61846","26.44","-2.03","-0.6","1"
"2023/01/01 09:00:00","EST","PJM","61847","30.39","0.36","-2.15","1"
"2023/01/01 09:00:00","EST","WEST","61752","26.82","-1.7","-0.65","1"
"2023/01/01 10:00:00","EST","CAPITL","61757","35.34","1.71","-6.06","1"
"2023/01/01 10:00:00","EST","CENTRL","61754","27.97","-0.3","-0.7","1"
"2023/01/01 10:00:00","EST","DUNWOD","61760","34.31","2.48","-4.26","1"
"2023/01/01 10:00:00","EST","GENESE","61753","27.14","-1.02","-0.59","1"
"2023/01/01 10:00:00","EST","H Q","61844","27.1","-0.47","0","1"
"2023/01/01 10:00:00","EST","HUD VL","61758","33.96","2.15","-4.24","1"
"2023/01/01 10:00:00","EST","LONGIL","61762","38.36","3.14","-7.65","1"
"2023/01/01 10:00:00","EST","MHK VL","61756","28.86","0.69","-0.6","1"
"2023/01/01 10:00:00","EST","MILLWD","61759","34.21","2.34","-4.3","1"
"2023/01/01 10:00:00","EST","N.Y.C.","61761","34.34","2.51","-4.26","1"
"2023/01/01 10:00:00","EST","NORTH","61755","27.04","-0.52","0","1"
"2023/01/01 10:00:00","EST","NPX","61845","34.69","1.99","-5.14","1"
"2023/01/01 10:00:00","EST","O H","61846","26.13","-2.12","-0.68","1"
"2023/01/01 10:00:00","EST","PJM","61847","30.37","0.36","-2.44","1"
"2023/01/01 10:00:00","EST","WEST","61752","26.54","-1.76","-0.74","1"
"2023/01/01 11:00:00","EST","CAPITL","61757","34.78","1.73","-4.63","1"
"2023/01/01 11:00:00","EST","CENTRL","61754","28.69","-0.26","-0.54","1"
"2023/01/01 11:00:00","EST","DUNWOD","61760","34.28","2.61","-3.26","1"
"2023/01/01 11:00:00","EST","GENESE","61753","27.89","-0.97","-0.45","1"
"2023/01/01 11:00:00","EST","H Q","61844","27.93","-0.48","0","1"
"2023/01/01 11:00:00","EST","HUD VL","61758","33.89","2.24","-3.24","1"
"2023/01/01 11:00:00","EST","LONGIL","61762","37.93","3.27","-6.25","1"
"2023/01/01 11:00:00","EST","MHK VL","61756","29.61","0.74","-0.46","1"
"2023/01/01 11:00:00","EST","MILLWD","61759","34.2","2.5","-3.29","1"
"2023/01/01 11:00:00","EST","N.Y.C.","61761","34.34","2.67","-3.26","1"
"2023/01/01 11:00:00","EST","NORTH","61755","27.81","-0.6","0","1"
"2023/01/01 11:00:00","EST","NPX","61845","34.41","2.07","-3.93","1"
"2023/01/01 11:00:00","EST","O H","61846","26.8","-2.13","-0.52","1"
"2023/01/01 11:00:00","EST","PJM","61847","30.71","0.43","-1.87","1"
"2023/01/01 11:00:00","EST","WEST","61752","27.24","-1.73","-0.56","1"
"2023/01/01 12:00:00","EST","CAPITL","61757","34.13","1.73","-3.61","1"
"2023/01/01 12:00:00","EST","CENTRL","61754","28.95","-0.26","-0.42","1"
"2023/01/01 12:00:00","EST","DUNWOD","61760","34.01","2.68","-2.54","1"
"2023/01/01 12:00:00","EST","GENESE","61753","28.14","-1.01","-0.35","1"
"2023/01/01 12:00:00","EST","H Q","61844","28.31","-0.49","0","1"
"2023/01/01 12:00:00","EST","HUD VL","61758","33.62","2.3","-2.52","1"
"2023/01/01 12:00:00","EST","LONGIL","61762","34.73","3.4","-2.54","1"
"2023/01/01 12:00:00","EST","MHK VL","61756","29.87","0.75","-0.33","1"
"2023/01/01 12:00:00","EST","MILLWD","61759","33.91","2.56","-2.56","1"
"2023/01/01 12:00:00","EST","N.Y.C.","61761","34.04","2.71","-2.54","1"
"2023/01/01 12:00:00","EST","NORTH","61755","28.22","-0.58","0","1"
"2023/01/01 12:00:00","EST","NPX","61845","33.95","2.1","-3.06","1"
"2023/01/01 12:00:00","EST","O H","61846","27.1","-2.1","-0.41","1"
"2023/01/01 12:00:00","EST","PJM","61847","30.71","0.46","-1.45","1"
"2023/01/01 12:00:00","EST","WEST","61752","27.54","-1.7","-0.44","1"
"2023/01/01 13:00:00","EST","CAPITL","61757","31.76","1.73","-0.64","1"
"2023/01/01 13:00:00","EST","CENTRL","61754","29.19","-0.26","-0.07","1"
"2023/01/01 13:00:00","EST","DUNWOD","61760","32.6","2.76","-0.45","1"
"2023/01/01 13:00:00","EST","GENESE","61753","28.41","-1.03","-0.06","1"
"2023/01/01 13:00:00","EST","H Q","61844","28.88","-0.5","0","1"
"2023/01/01 13:00:00","EST","HUD VL","61758","32.18","2.35","-0.45","1"
"2023/01/01 13:00:00","EST","LONGIL","61762","35.53","3.41","-2.75","1"
"2023/01/01 13:00:00","EST","MHK VL","61756","30.17","0.73","-0.06","1"
"2023/01/01 13:00:00","EST","MILLWD","61759","32.45","2.61","-0.46","1"
"2023/01/01 13:00:00","EST","N.Y.C.","61761","32.63","2.79","-0.45","1"
"2023/01/01 13:00:00","EST","NORTH","61755","28.76","-0.62","0","1"
"2023/01/01 13:00:00","EST","NPX","61845","32.07","2.14","-0.55","1"
"2023/01/01 13:00:00","EST","O H","61846","27.31","-2.14","-0.07","1"
"2023/01/01 13:00:00","EST","PJM","61847","30.14","0.5","-0.26","1"
"2023/01/01 13:00:00","EST","WEST","61752","27.73","-1.73","-0.08","1"
"2023/01/01 14:00:00","EST","CAPITL","61757","31.62","1.76","0","1"
"2023/01/01 14:00:00","EST","CENTRL","61754","29.74","-0.12","0","1"
"2023/01/01 14:00:00","EST","DUNWOD","61760","32.61","2.75","0","1"
